conn_atn-hpc--pc_6-years_riggins_2016,
X,Y
0.2768181818181818,0.35000000000000003
0.24954545454545451,0.11969696969696975
0.24954545454545451,0.06818181818181823
0.36,0.20909090909090916
0.36136363636363633,0.1863636363636364
0.3886363636363636,0.2181818181818182
0.5822727272727273,0.48939393939393944
0.6395454545454546,0.5303030303030304
0.41659090909090907,0.31060606060606066
0.4990909090909091,0.2575757575757576
0.4159090909090909,0.21060606060606069
0.4425,0.01969696969696977
0.49977272727272726,0.18939393939393945
0.5549999999999999,0.18181818181818188
0.581590909090909,0.24848484848484853
0.6375,0.33181818181818185
0.6661363636363637,0.30909090909090914
0.6381818181818182,0.13030303030303036
0.5543181818181818,0.07878787878787885
