Bar0, 37.42427297054379
Bar1, 40.42409796477775
Bar2, 41.141315345444454
Bar3, 41.11634601260423
Bar4, 35.12412339921244
Bar5, 45.28318688396966
Bar6, 45.34769655738375
Bar7, 45.284021420495066
Bar8, 43.04112105480676
Bar9, 44.19495125483677
Bar10, 44.223087057693405
Bar11, 41.18394347116234
Bar12, 42.49842195233351
Bar20, 40.530549059568806
Bar21, 40.64012608974503
Bar22, 40.50774634250788
Bar23, 39.43548930604815
Bar24, 45.87136822707768
Bar25, 45.981908550843244
Bar26, 35.61791866129675
Bar27, 35.61808556860183
Bar28, 37.56741267538188
Bar29, 35.49173673865496
Bar30, 39.43400383103292
Bar31, 39.370579055101864
Bar32, 38.612680800609894
Bar33, 35.17311069325393
Bar34, 36.64740291904087
Bar35, 38.60263854442081
Bar36, 38.60830147084323
Bar37, 36.76460522866926
Bar38, 34.50272750239316
Bar39, 38.838144751891136
Bar40, 38.79892153519693
Bar41, 36.9084459441887
Bar42, 32.87079132695653
Bar43, 38.853333316653575
Bar44, 38.76854440567205
Bar45, 36.2420407107657
Bar46, 35.790751175708884
Bar47, 31.011694309303664
Bar48, 29.81713872683371
Bar49, 37.64434025229405
Bar50, 32.70099079731718
Bar51, 33.367795357290596
Bar52, 32.97839370121459
Bar53, 32.51198654523013
Bar54, 32.396834331364396
Bar55, 31.889839071729384
Bar56, 30.598242199420845
Bar57, 30.56314722258014
Bar58, 29.901123717422706
Bar59, 32.283716608909714
Bar60, 32.245875068664084
Bar61, 32.40354815302088
Bar62, 31.74172809700455
Bar63, 33.5420495466475
Bar64, 34.32156493079338
Bar65, 34.59449195358647
Bar66, 34.00672738493256
Bar67, 34.00723600778532
Bar68, 33.69361915677113
Bar69, 33.65109828628007
Bar70, 32.98571787029439
Bar71, 33.60908603864177
Bar72, 33.88231823514651
Bar73, 33.88414927741647
Bar74, 35.055100809049414
Bar75, 35.018073065368206
Bar76, 36.34557871108187
Bar77, 35.99473066724536
Bar78, 36.697952623476674
Bar79, 37.478892151610296
Bar80, 37.47746800762256
Bar81, 38.14183117790271
Bar82, 38.33805787449901
Bar83, 39.15734756573102
Bar84, 39.549292336070856
Bar85, 39.74185694812725
Bar86, 40.05282896030707
Bar87, 40.9897122550981
Bar81, 39.194477033982785
Bar82, 38.84291691815241
Bar83, 38.29533355486684
Bar84, 37.905016377655855
Bar85, 37.67084641624338
Bar86, 37.163037360043944
Bar87, 36.536312280868316
Bar88, 36.106627694853415
Bar89, 35.79321429298032
Bar90, 35.79250222098646
Bar91, 36.61301260706511
Bar92, 35.24542748055365
Bar93, 37.74581742474077
Bar94, 38.60396590192395
Bar95, 39.384193358063705
Bar96, 40.752897454851244
Bar97, 41.37850356375079
Bar98, 41.84602969001132
Bar99, 35.9832357907729
Bar100, 35.282251775093755
